epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,36.3949,5.19405,4.24457,3.4095,0,0,0,0,6.95432,4.71722,4.32212,0.000193257,0.000193257,0.000193257
49,37.069,5.00806,4.58578,3.47836,0,0,0,0,6.95544,4.72872,4.33607,0.000193714,0.000193714,0.000193714
50,37.7057,5.28934,4.8668,3.33831,0,0,0,0,6.95544,4.72872,4.33607,0.000194019,0.000194019,0.000194019
51,38.3419,4.69924,4.64095,3.54828,0,0,0,0,6.95882,4.70289,4.35217,0.000194173,0.000194173,0.000194173
52,38.9448,5.71448,4.55053,3.59094,0,0,0,0,6.95882,4.70289,4.35217,0.000194173,0.000194173,0.000194173
53,39.5935,5.18128,4.49075,3.3237,0,0,0,0,6.95882,4.70289,4.35217,0.000194022,0.000194022,0.000194022
54,40.2304,5.89184,4.57572,3.44268,0,0,0,0,6.96262,4.70737,4.37072,0.000193718,0.000193718,0.000193718
55,40.8353,3.94109,4.65177,3.15347,0,0,0,0,6.96262,4.70737,4.37072,0.000193262,0.000193262,0.000193262
56,41.4568,4.93348,4.25682,3.24467,0,0,0,0,6.96262,4.70737,4.37072,0.000192654,0.000192654,0.000192654
57,42.1163,4.79966,4.28906,3.16717,0,0,0,0,6.96456,4.72007,4.39154,0.000191893,0.000191893,0.000191893
58,42.8422,5.30377,4.21338,3.3185,0,0,0,0,6.96456,4.72007,4.39154,0.00019098,0.00019098,0.00019098
59,43.4618,5.67386,4.2812,3.35564,0,0,0,0,6.96456,4.72007,4.39154,0.000189915,0.000189915,0.000189915
60,44.4019,5.58029,4.2756,3.30121,0,0,0,0,6.96806,4.74071,4.40847,0.000188698,0.000188698,0.000188698
61,45.3907,4.30466,4.44688,3.05249,0,0,0,0,6.96806,4.74071,4.40847,0.000187328,0.000187328,0.000187328
62,46.4134,4.39929,4.19541,3.14556,0,0,0,0,6.96806,4.74071,4.40847,0.000185807,0.000185807,0.000185807
63,47.2803,5.31795,4.36865,3.17454,0,0,0,0,6.97102,4.74088,4.42881,0.000184132,0.000184132,0.000184132
64,47.9473,5.53452,4.45069,3.27565,0,0,0,0,6.97102,4.74088,4.42881,0.000182306,0.000182306,0.000182306
65,48.6578,5.15686,4.10697,3.18377,0,0,0,0,6.97102,4.74088,4.42881,0.000180327,0.000180327,0.000180327
66,49.2826,4.72097,4.17925,3.1711,0,0,0,0,6.97285,4.73766,4.44389,0.000178197,0.000178197,0.000178197
67,49.9615,4.41073,4.11914,3.18619,0,0,0,0,6.97285,4.73766,4.44389,0.000175913,0.000175913,0.000175913
68,50.6028,4.53146,3.95556,3.09243,0,0,0,0,6.97285,4.73766,4.44389,0.000173478,0.000173478,0.000173478
69,51.2858,5.19453,4.15996,3.1611,0,0,0,0,6.97588,4.75245,4.4589,0.00017089,0.00017089,0.00017089
70,51.9114,4.46246,4.14898,3.12481,0,0,0,0,6.97588,4.75245,4.4589,0.00016815,0.00016815,0.00016815
71,52.6222,3.73585,3.8997,2.97226,0,0,0,0,6.97588,4.75245,4.4589,0.000165258,0.000165258,0.000165258
72,53.6209,3.61856,4.60816,2.84667,0,0,0,0,6.97665,4.74758,4.47086,0.000162214,0.000162214,0.000162214
73,54.2488,4.36662,3.96179,2.95609,0,0,0,0,6.97665,4.74758,4.47086,0.000159017,0.000159017,0.000159017
74,54.8702,5.21744,4.58157,3.14208,0,0,0,0,6.97665,4.74758,4.47086,0.000155668,0.000155668,0.000155668
75,55.553,5.37211,4.01427,3.10326,0,0,0,0,6.97782,4.76999,4.48269,0.000152167,0.000152167,0.000152167
76,56.2934,4.33394,3.81212,2.97224,0,0,0,0,6.97782,4.76999,4.48269,0.000148513,0.000148513,0.000148513
77,56.9644,5.05908,4.05838,3.08012,0,0,0,0,6.97782,4.76999,4.48269,0.000144707,0.000144707,0.000144707
78,57.9123,5.49059,4.08475,3.17844,0,0,0,0,6.98072,4.76926,4.49244,0.000140749,0.000140749,0.000140749
79,58.9395,4.86359,4.3243,3.32734,0,0,0,0,6.98072,4.76926,4.49244,0.000136639,0.000136639,0.000136639
80,59.961,4.09158,3.90437,2.80219,0,0,0,0,6.98072,4.76926,4.49244,0.000132376,0.000132376,0.000132376
81,60.6589,4.54017,4.00174,3.08299,0,0,0,0,6.9809,4.78267,4.50041,0.000127962,0.000127962,0.000127962
82,61.3089,5.47461,3.99222,3.01535,0,0,0,0,6.9809,4.78267,4.50041,0.000123395,0.000123395,0.000123395
83,62.0244,4.49563,3.91504,2.84556,0,0,0,0,6.9809,4.78267,4.50041,0.000118675,0.000118675,0.000118675
84,62.9673,4.82225,3.78752,2.94657,0,0,0,0,6.98127,4.78267,4.50944,0.000113804,0.000113804,0.000113804
85,63.6465,4.88019,4.01487,2.82467,0,0,0,0,6.98127,4.78267,4.50944,0.00010878,0.00010878,0.00010878
86,64.4003,4.50136,3.83229,2.7923,0,0,0,0,6.98127,4.78267,4.50944,0.000103604,0.000103604,0.000103604
87,65.0424,4.90884,3.8446,2.86595,0,0,0,0,6.98127,4.78267,4.50944,9.82751e-05,9.82751e-05,9.82751e-05
88,65.7322,4.0758,3.95674,3.1601,0,0,0,0,6.98116,4.78968,4.51243,9.27945e-05,9.27945e-05,9.27945e-05
