epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,273.511,1.15261,0.67882,1.05489,0.77829,0.91384,0.88277,0.54909,1.27382,0.64538,1.13211,0.000456863,0.000456863,0.000456863
43,280.943,1.15823,0.71596,1.08073,0.81437,0.87952,0.90109,0.57719,1.25147,0.63781,1.11289,0.00044925,0.00044925,0.00044925
44,292.301,1.12578,0.6681,1.0154,0.78121,0.91172,0.88366,0.55936,1.23745,0.65173,1.09729,0.000441637,0.000441637,0.000441637
45,297.854,1.11267,0.64005,1.02376,0.85943,0.94061,0.92815,0.54399,1.25608,0.66496,1.1031,0.000434024,0.000434024,0.000434024
46,302.721,1.11967,0.64893,1.0497,0.83788,0.97868,0.94824,0.54758,1.25977,0.63835,1.10994,0.000426411,0.000426411,0.000426411
47,307.772,1.13257,0.67546,1.0291,0.81443,0.98667,0.95065,0.55324,1.25404,0.66048,1.11338,0.000418797,0.000418797,0.000418797
48,313.723,1.07135,0.65085,1.01779,0.84028,0.97505,0.95164,0.55502,1.21705,0.67199,1.09067,0.000411184,0.000411184,0.000411184
49,318.688,1.06327,0.6309,1.02139,0.84642,0.96147,0.95163,0.55399,1.22315,0.66515,1.08832,0.000403571,0.000403571,0.000403571
50,323.869,1.10673,0.65729,1.05216,0.77824,0.90075,0.88417,0.52869,1.28081,0.67276,1.10663,0.000395958,0.000395958,0.000395958
51,330.941,1.10349,0.64879,1.02225,0.84238,0.90516,0.91878,0.53415,1.30767,0.67558,1.10949,0.000388345,0.000388345,0.000388345
52,336.256,1.11386,0.63133,1.03919,0.75143,0.95638,0.9,0.52725,1.32489,0.69725,1.12268,0.000380732,0.000380732,0.000380732
53,341.02,1.11185,0.64192,1.04474,0.81894,0.95095,0.90507,0.54339,1.26684,0.66494,1.09915,0.000373119,0.000373119,0.000373119
54,350.41,1.06131,0.61107,1.04899,0.82333,0.94285,0.90789,0.5688,1.23412,0.62332,1.08038,0.000365506,0.000365506,0.000365506
55,355.84,1.10955,0.60721,1.0486,0.87713,0.98074,0.93752,0.59266,1.21519,0.58612,1.06807,0.000357893,0.000357893,0.000357893
56,363.503,1.05809,0.59106,1.01332,0.86242,0.98227,0.94036,0.60499,1.23126,0.61172,1.07182,0.00035028,0.00035028,0.00035028
57,370.354,1.04121,0.58531,0.98943,0.8809,0.96745,0.93131,0.58369,1.2664,0.6613,1.0902,0.000342666,0.000342666,0.000342666
58,377.91,1.07293,0.63816,1.027,0.86771,0.94492,0.9171,0.57152,1.28493,0.65497,1.10604,0.000335053,0.000335053,0.000335053
59,384.09,1.04981,0.59362,1.02053,0.86298,0.97279,0.92722,0.58464,1.25726,0.63349,1.09041,0.00032744,0.00032744,0.00032744
60,392.325,1.11748,0.60238,1.02816,0.86938,0.88585,0.93309,0.57981,1.25639,0.62765,1.09273,0.000319827,0.000319827,0.000319827
61,397.747,1.11589,0.6293,1.05684,0.82088,0.90316,0.89885,0.5325,1.29362,0.64843,1.1154,0.000312214,0.000312214,0.000312214
